id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
478,seltener,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, manchmal",,"nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,6,6,6,4,3,6,6,4,5,4,6,seltener,0 Euro,Supermarkt,0,0,0,Nein,9,männlich,28,Sonstiges,2400
479,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,5,6,,3,6,6,6,3,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,1,Nein,13,männlich,22,Erwerbstätigkeit,2600
480,mehrmals wöchentlich,"nein, nie","nein, nie","nein, nie","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",1,3,4,3,2,,4,4,2,4,1,2,einmal im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,0,Ja,25,,30,Erwerbstätigkeit,1800
481,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",5,4,5,4,5,4,5,5,4,5,4,5,seltener,weniger als 10 Euro,Drogerien,1,1,0,Ja,27,weiblich,32,Erwerbstätigkeit,1300
482,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",3,6,6,6,6,2,6,4,6,6,6,6,wöchentlich,10 Euro bis weniger als 25 Euro,Drogerien,0,0,0,Nein,6,männlich,,Studium,600
483,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",4,4,5,4,4,4,5,5,4,4,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,18,weiblich,30,Erwerbstätigkeit,2300
484,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,6,4,6,5,2,6,6,4,4,6,6,einmal im Monat,0 Euro,Supermarkt,0,1,0,Nein,8,männlich,22,Studium,300
485,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,4,6,6,4,,6,4,5,,6,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,11,weiblich,22,Erwerbstätigkeit,2500
486,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,6,4,6,6,5,6,,6,4,6,6,mehrmals im Monat,weniger als 10 Euro,Supermarkt,0,0,1,Nein,7,,29,Erwerbstätigkeit,2100
487,seltener,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,3,4,3,5,4,3,2,4,4,3,4,seltener,10 Euro bis weniger als 25 Euro,Drogerien,0,1,1,Nein,18,weiblich,20,Studium,600
488,seltener,"nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",2,6,6,2,6,3,6,2,6,6,6,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,1,1,Nein,22,männlich,17,Schule,100
489,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",5,6,6,6,6,4,6,6,6,6,6,6,nie,0 Euro,,0,0,0,Nein,3,männlich,26,Studium,800
490,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",1,4,6,6,5,5,6,,4,6,6,6,,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,22,weiblich,30,Studium,600
491,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,6,4,6,6,3,6,5,6,2,,6,wöchentlich,25 Euro bis weniger als 50 Euro,Drogerien,1,1,1,Nein,25,weiblich,30,Erwerbstätigkeit,4700
492,seltener,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,5,4,6,4,5,5,5,4,4,4,nie,0 Euro,Supermarkt,0,0,1,Nein,12,männlich,25,Erwerbstätigkeit,2100
493,täglich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig",,"nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,4,4,6,4,1,5,4,5,3,4,4,einmal im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,,weiblich,23,Studium,600
494,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","nein, nie","ja, manchmal",,"nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,3,4,4,4,3,3,4,4,3,4,4,nie,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,8,weiblich,23,Studium,
495,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",6,5,5,4,4,4,3,4,3,2,6,6,nie,weniger als 10 Euro,,1,0,0,Ja,15,divers,24,Studium,200
496,täglich,"nein, nie","nein, nie","nein, nie","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",2,6,5,2,2,1,5,5,2,4,1,2,mehrmals im Monat,,Drogerien,0,1,0,Ja,24,weiblich,23,Erwerbstätigkeit,1400
497,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie",,"nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig",4,3,4,6,5,5,4,4,5,4,5,5,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,,weiblich,20,Erwerbstätigkeit,
498,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,4,5,6,6,1,5,6,4,4,6,5,einmal im Monat,25 Euro bis weniger als 50 Euro,,0,1,0,Ja,19,weiblich,21,Studium,
499,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",,"nein, nicht bewusst",5,6,6,3,6,4,6,6,6,6,6,6,nie,0 Euro,Supermarkt,1,0,0,Nein,6,männlich,27,,500
500,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig",,"ja, vereinzelt","ja, vereinzelt",5,6,4,4,4,4,6,5,5,6,4,6,mehrmals im Monat,,Apotheke oder spezialisierter Fachhandel,0,0,0,Ja,17,weiblich,25,Studium,400
501,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,4,6,5,4,4,6,5,5,4,5,nie,0 Euro,Supermarkt,0,1,0,Nein,6,,26,Erwerbstätigkeit,3200
502,mehrmals wöchentlich,,"ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",3,3,4,5,4,3,4,4,4,4,5,5,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,Nein,22,weiblich,25,Studium,300
503,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,5,5,5,5,2,5,4,3,4,4,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Nein,9,weiblich,25,Studium,700
504,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",3,5,5,4,6,2,6,5,5,5,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,1,Nein,21,weiblich,22,Studium,300
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,mehrmals wöchentlich,"ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,4,6,5,6,5,,6,5,6,4,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,15,weiblich,31,Ausbildung,600
507,seltener,"ja, manchmal","ja, sehr regelmäßig",,"nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",3,5,5,6,4,2,5,,3,5,4,6,nie,weniger als 10 Euro,Drogerien,1,0,0,Nein,9,divers,25,Sonstiges,2200
508,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,4,4,5,4,4,5,3,4,4,6,6,einmal im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,22,weiblich,20,Erwerbstätigkeit,
509,täglich,"ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",5,6,4,6,4,3,4,4,3,3,3,4,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,1,Nein,26,divers,22,Studium,800
510,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",4,4,6,6,6,,4,5,4,5,4,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,1,1,1,Ja,31,weiblich,17,Ausbildung,
511,täglich,"nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig",1,3,4,3,4,4,5,3,3,3,3,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,7,männlich,17,Schule,100
512,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,5,4,6,5,4,6,4,5,6,5,6,einmal im Monat,0 Euro,Supermarkt,1,0,0,Ja,15,männlich,29,Erwerbstätigkeit,
513,täglich,,"ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig",4,3,3,4,4,2,4,3,4,4,5,4,mehrmals im Monat,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,12,weiblich,22,Studium,800
514,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",3,5,5,6,6,3,6,6,4,3,6,5,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,16,weiblich,24,Studium,300
515,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst",4,1,2,5,2,2,2,6,1,2,5,4,nie,0 Euro,Supermarkt,1,1,1,Nein,26,männlich,30,Erwerbstätigkeit,4700
516,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt",4,3,3,4,4,3,4,4,3,2,4,4,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,0,Ja,25,weiblich,,Studium,
517,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie",,"nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",5,6,6,6,,4,6,6,4,6,6,6,einmal im Monat,0 Euro,Supermarkt,1,0,0,Nein,9,männlich,31,Erwerbstätigkeit,3700
518,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",4,4,6,4,4,,6,6,4,5,4,5,wöchentlich,25 Euro bis weniger als 50 Euro,Drogerien,0,0,1,Nein,8,weiblich,25,Studium,600
519,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,5,,5,4,4,3,6,3,4,6,6,einmal im Monat,0 Euro,Supermarkt,1,0,0,Ja,15,männlich,29,Studium,300
520,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,5,5,4,5,5,4,5,6,6,,5,seltener,0 Euro,Supermarkt,0,0,0,Nein,7,weiblich,18,Schule,100
521,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst",,"ja, vereinzelt","ja, vereinzelt",4,6,4,5,4,4,4,6,4,6,5,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,1,Nein,22,männlich,,Studium,700
522,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nie",,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,,4,4,5,5,6,4,5,3,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,1,Nein,16,männlich,26,,500
523,seltener,"ja, sehr regelmäßig","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,6,5,6,1,2,5,4,5,4,5,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Ja,13,weiblich,30,Erwerbstätigkeit,3300
524,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal",,"nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",2,5,4,6,5,4,4,5,3,4,6,5,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Nein,8,männlich,26,Studium,800
525,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,,5,6,5,3,6,4,5,5,5,5,seltener,10 Euro bis weniger als 25 Euro,Drogerien,1,0,1,Nein,22,weiblich,,Studium,200
526,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",4,4,4,6,6,2,,6,6,5,6,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Ja,31,weiblich,20,Erwerbstätigkeit,4700
527,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,5,4,4,4,4,5,4,4,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,1,0,0,Ja,13,männlich,20,Erwerbstätigkeit,
528,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,4,4,4,3,4,4,4,3,3,4,4,einmal im Monat,,Supermarkt,0,1,1,Nein,11,weiblich,16,Ausbildung,600
529,seltener,"ja, manchmal",,"ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",3,6,4,6,6,3,6,4,6,3,5,6,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Ja,29,weiblich,30,Erwerbstätigkeit,4400
530,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, regelmäßig",,"ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",3,4,5,6,6,1,4,5,3,3,2,6,wöchentlich,50 Euro bis weniger als 100 Euro,Drogerien,0,1,0,Ja,16,weiblich,20,Erwerbstätigkeit,3300
531,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",2,6,6,6,6,2,6,5,6,5,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,,1,0,1,Nein,18,weiblich,24,Erwerbstätigkeit,4500
532,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst",,"ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,6,6,6,6,3,6,5,6,6,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Nein,11,weiblich,25,Ausbildung,400
533,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",3,4,,6,6,5,5,6,5,4,6,6,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,1,0,1,Nein,20,weiblich,20,Ausbildung,600
534,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig",2,6,6,4,6,4,6,5,6,6,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,9,weiblich,27,Erwerbstätigkeit,3400
535,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",2,,6,6,6,3,6,6,6,5,6,6,einmal im Monat,25 Euro bis weniger als 50 Euro,,0,0,0,Ja,16,weiblich,25,Studium,800
536,täglich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst",3,6,6,6,6,4,6,6,5,6,6,6,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,,20,männlich,25,Studium,600
537,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie",,"ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,4,5,6,3,6,4,6,5,4,5,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,0,1,Nein,13,weiblich,23,Studium,600
538,seltener,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,4,5,4,4,5,4,4,5,5,4,6,seltener,0 Euro,Supermarkt,0,1,0,Nein,9,männlich,32,Erwerbstätigkeit,4500
539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",1,6,5,6,6,2,6,6,4,5,6,6,seltener,0 Euro,Supermarkt,1,0,0,Nein,5,männlich,21,Studium,400
541,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst",,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,4,6,5,4,5,6,4,4,6,6,einmal im Monat,,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,20,weiblich,22,Studium,600
542,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig",,,"ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",4,6,6,6,6,3,6,6,6,5,6,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Drogerien,0,1,0,Ja,19,,25,Studium,500
